bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,unique sequence percentage
True,0.95541,True,1054.00000,0.96193,-49.01648,0,False,Salmon,10,50,0.87666,0.94268,False,4
True,0.97739,True,13266.00000,0.85547,-64.30126,10,False,Salmon,10,50,0.80801,0.68320,False,0
True,0.95640,True,2133.00000,0.87173,-52.25445,10,False,Salmon,10,50,0.89498,0.54913,False,1
True,0.95017,True,1465.00000,0.87710,-48.11765,10,False,Salmon,10,50,0.91672,0.51020,False,2
True,0.94816,True,1061.00000,0.86923,-44.62579,10,False,Salmon,10,50,0.92837,0.47852,False,3
True,0.96664,True,1139.00000,0.89156,-49.37444,10,False,Salmon,10,50,0.91572,0.54990,False,4
True,0.96890,True,13022.00000,0.91052,-57.88719,0,False,Salmon,10,75,0.77008,0.88450,False,0
True,0.94885,True,2170.00000,0.94368,-49.05103,0,False,Salmon,10,75,0.83548,0.90098,False,1
True,0.94751,True,1448.00000,0.95151,-49.60058,0,False,Salmon,10,75,0.81699,0.92180,False,2
True,0.94235,True,1006.00000,0.95209,-48.40536,0,False,Salmon,10,75,0.82306,0.92712,False,3
True,0.95856,True,1086.00000,0.95709,-49.34900,0,False,Salmon,10,75,0.85820,0.95493,False,4
True,0.97898,True,13037.00000,0.86670,-64.58630,10,False,Salmon,10,75,0.79366,0.70067,False,0
True,0.96640,True,2113.00000,0.88604,-53.54027,10,False,Salmon,10,75,0.87222,0.56941,False,1
True,0.95983,True,1394.00000,0.88324,-48.57607,10,False,Salmon,10,75,0.88666,0.53557,False,2
True,0.96756,True,1079.00000,0.87421,-47.18717,10,False,Salmon,10,75,0.91196,0.50078,False,3
True,0.95920,True,1103.00000,0.86961,-50.19897,10,False,Salmon,10,75,0.90571,0.57003,False,4
True,0.95258,True,13118.00000,0.91800,-51.61835,0,False,Salmon,10,100,0.76963,0.89424,False,0
True,0.92507,True,2122.00000,0.94739,-46.07178,0,False,Salmon,10,100,0.78322,0.90861,False,1
True,0.92075,True,1489.00000,0.95627,-43.07010,0,False,Salmon,10,100,0.80054,0.92761,False,2
True,0.91847,True,1018.00000,0.95477,-41.25062,0,False,Salmon,10,100,0.82515,0.93517,False,3
True,0.92150,True,1172.00000,0.95428,-43.58585,0,False,Salmon,10,100,0.84386,0.95717,False,4
True,0.97308,True,13263.00000,0.87464,-60.24104,10,False,Salmon,10,100,0.79017,0.69635,False,0
True,0.95751,True,2165.00000,0.88133,-45.43823,10,False,Salmon,10,100,0.86744,0.56866,False,1
True,0.95010,True,1563.00000,0.86678,-42.94205,10,False,Salmon,10,100,0.89827,0.52932,False,2
True,0.95813,True,1027.00000,0.86734,-42.37404,10,False,Salmon,10,100,0.89581,0.49414,False,3
True,0.94969,True,1133.00000,0.86081,-43.53410,10,False,Salmon,10,100,0.91174,0.56092,False,4
True,0.83567,True,12998.00000,0.93972,-18.35083,0,False,RSEM,10,50,0.80589,0.91418,False,0
True,0.81191,True,2132.00000,0.95833,-13.32196,0,False,RSEM,10,50,0.84099,0.93557,False,1
True,0.84188,True,1423.00000,0.96084,-19.54691,0,False,RSEM,10,50,0.83907,0.95032,False,2
True,0.84526,True,1118.00000,0.97019,-22.56005,0,False,RSEM,10,50,0.84884,0.96512,False,3
True,0.83586,True,1054.00000,0.96907,-18.09530,0,False,RSEM,10,50,0.89279,0.98098,False,4
True,0.89673,True,13266.00000,0.89732,-33.03890,10,False,RSEM,10,50,0.81298,0.72005,False,0
True,0.87389,True,2133.00000,0.89968,-23.63755,10,False,RSEM,10,50,0.89264,0.58903,False,1
True,0.87713,True,1465.00000,0.89881,-22.20038,10,False,RSEM,10,50,0.91741,0.52913,False,2
True,0.89538,True,1061.00000,0.89364,-21.27908,10,False,RSEM,10,50,0.93120,0.48788,False,3
True,0.88762,True,1139.00000,0.90852,-22.11418,10,False,RSEM,10,50,0.92625,0.55349,False,4
True,0.84810,True,13022.00000,0.93597,-20.91035,0,False,RSEM,10,75,0.77968,0.92045,False,0
True,0.83779,True,2170.00000,0.96078,-15.70344,0,False,RSEM,10,75,0.83134,0.94307,False,1
True,0.83909,True,1448.00000,0.96303,-20.10621,0,False,RSEM,10,75,0.81077,0.96159,False,2
True,0.85089,True,1006.00000,0.96190,-22.85438,0,False,RSEM,10,75,0.82207,0.96764,False,3
True,0.85543,True,1086.00000,0.96625,-21.28405,0,False,RSEM,10,75,0.86740,0.98282,False,4
True,0.89054,True,13037.00000,0.90123,-31.33920,10,False,RSEM,10,75,0.79351,0.75289,False,0
True,0.86512,True,2113.00000,0.92239,-25.46436,10,False,RSEM,10,75,0.85708,0.63668,False,1
True,0.87446,True,1394.00000,0.90447,-20.37311,10,False,RSEM,10,75,0.88235,0.58384,False,2
True,0.88137,True,1079.00000,0.88181,-21.60480,10,False,RSEM,10,75,0.91474,0.53276,False,3
True,0.87942,True,1103.00000,0.89350,-20.75163,10,False,RSEM,10,75,0.90571,0.59028,False,4
True,0.85996,True,13118.00000,0.93961,-30.76371,0,False,RSEM,10,100,0.77794,0.92697,False,0
True,0.84590,True,2122.00000,0.95873,-26.76222,0,False,RSEM,10,100,0.78652,0.94848,False,1
True,0.86837,True,1489.00000,0.96479,-32.43354,0,False,RSEM,10,100,0.79584,0.96015,False,2
True,0.88802,True,1018.00000,0.96263,-32.46792,0,False,RSEM,10,100,0.82122,0.96956,False,3
True,0.87628,True,1172.00000,0.96498,-33.62869,0,False,RSEM,10,100,0.84727,0.97887,False,4
True,0.91932,True,13263.00000,0.90601,-36.63377,10,False,RSEM,10,100,0.78489,0.75839,False,0
True,0.89330,True,2165.00000,0.91288,-25.72814,10,False,RSEM,10,100,0.85173,0.65711,False,1
True,0.90403,True,1563.00000,0.89589,-26.65436,10,False,RSEM,10,100,0.88548,0.59406,False,2
True,0.91821,True,1027.00000,0.89131,-28.48611,10,False,RSEM,10,100,0.88900,0.54621,False,3
True,0.91086,True,1133.00000,0.88083,-25.14180,10,False,RSEM,10,100,0.90909,0.60019,False,4
True,0.88029,True,12998.00000,0.91199,-25.28041,0,False,Kallisto,10,50,0.80266,0.85352,False,0
True,0.82974,True,2132.00000,0.94366,-18.24998,0,False,Kallisto,10,50,0.83443,0.87794,False,1
True,0.84821,True,1423.00000,0.93838,-18.54280,0,False,Kallisto,10,50,0.83415,0.90054,False,2
True,0.84794,True,1118.00000,0.95840,-19.59236,0,False,Kallisto,10,50,0.84615,0.91967,False,3
True,0.81214,True,1054.00000,0.96161,-17.73273,0,False,Kallisto,10,50,0.88425,0.95581,False,4
True,0.95161,True,13266.00000,0.86843,-37.84483,10,False,Kallisto,10,50,0.80831,0.66874,False,0
True,0.90999,True,2133.00000,0.88902,-26.74823,10,False,Kallisto,10,50,0.88936,0.56557,False,1
True,0.91126,True,1465.00000,0.89291,-21.75685,10,False,Kallisto,10,50,0.90785,0.52268,False,2
True,0.90292,True,1061.00000,0.88287,-20.73662,10,False,Kallisto,10,50,0.91800,0.49185,False,3
True,0.89728,True,1139.00000,0.89891,-24.02848,10,False,Kallisto,10,50,0.92098,0.55972,False,4
True,0.86715,True,13022.00000,0.91040,-24.41212,0,False,Kallisto,10,75,0.77599,0.86305,False,0
True,0.83548,True,2170.00000,0.94185,-15.83919,0,False,Kallisto,10,75,0.82949,0.88320,False,1
True,0.83909,True,1448.00000,0.95409,-17.76672,0,False,Kallisto,10,75,0.81146,0.91484,False,2
True,0.84195,True,1006.00000,0.96101,-17.41873,0,False,Kallisto,10,75,0.81710,0.93078,False,3
True,0.79834,True,1086.00000,0.96398,-17.11097,0,False,Kallisto,10,75,0.86004,0.96290,False,4
True,0.94301,True,13037.00000,0.87282,-35.42769,10,False,Kallisto,10,75,0.79727,0.68948,False,0
True,0.91813,True,2113.00000,0.89796,-26.68957,10,False,Kallisto,10,75,0.86512,0.58869,False,1
True,0.88451,True,1394.00000,0.89272,-21.62184,10,False,Kallisto,10,75,0.87661,0.54753,False,2
True,0.88879,True,1079.00000,0.87809,-19.03495,10,False,Kallisto,10,75,0.90732,0.51429,False,3
True,0.90118,True,1103.00000,0.89175,-20.97397,10,False,Kallisto,10,75,0.90571,0.57637,False,4
True,0.86743,True,13118.00000,0.91401,-24.08852,0,False,Kallisto,10,100,0.77245,0.87318,False,0
True,0.83223,True,2122.00000,0.94863,-17.72390,0,False,Kallisto,10,100,0.78982,0.89561,False,1
True,0.82942,True,1489.00000,0.95784,-18.35761,0,False,Kallisto,10,100,0.79449,0.91542,False,2
True,0.84479,True,1018.00000,0.95518,-18.55289,0,False,Kallisto,10,100,0.81827,0.93574,False,3
True,0.82850,True,1172.00000,0.96087,-18.44835,0,False,Kallisto,10,100,0.83362,0.96552,False,4
True,0.94353,True,13263.00000,0.87494,-37.84241,10,False,Kallisto,10,100,0.78625,0.68687,False,0
True,0.92933,True,2165.00000,0.88895,-27.33877,10,False,Kallisto,10,100,0.84249,0.58343,False,1
True,0.92003,True,1563.00000,0.87530,-23.42162,10,False,Kallisto,10,100,0.89571,0.53969,False,2
True,0.92892,True,1027.00000,0.87166,-25.14614,10,False,Kallisto,10,100,0.88218,0.50571,False,3
True,0.90909,True,1133.00000,0.86801,-22.59904,10,False,Kallisto,10,100,0.90203,0.56479,False,4
True,0.90868,True,12998.00000,0.92311,-39.03894,0,False,Express,10,50,0.78912,0.87793,False,0
True,0.89634,True,2132.00000,0.94297,-28.60627,0,False,Express,10,50,0.79597,0.94644,False,1
True,0.88124,True,1423.00000,0.93872,-25.88739,0,False,Express,10,50,0.79761,0.95779,False,2
True,0.88819,True,1118.00000,0.95527,-20.73127,0,False,Express,10,50,0.82558,0.96998,False,3
True,0.86622,True,1054.00000,0.95311,-17.17167,0,False,Express,10,50,0.87287,0.97483,False,4
True,0.95130,True,13266.00000,0.87138,-51.23167,10,False,Express,10,50,0.78833,0.67496,False,0
True,0.92452,True,2133.00000,0.87236,-34.73177,10,False,Express,10,50,0.86545,0.56250,False,1
True,0.91536,True,1465.00000,0.85880,-24.18203,10,False,Express,10,50,0.90034,0.46950,False,2
True,0.90763,True,1061.00000,0.86028,-9.80028,10,False,Express,10,50,0.92648,0.40975,False,3
True,0.91835,True,1139.00000,0.88500,-18.38871,10,False,Express,10,50,0.93064,0.44678,False,4
True,0.88873,True,13022.00000,0.92188,-32.78618,0,False,Express,10,75,0.76593,0.88123,False,0
True,0.86313,True,2170.00000,0.94378,-23.80142,0,False,Express,10,75,0.78018,0.95447,False,1
True,0.85773,True,1448.00000,0.95061,-19.24682,0,False,Express,10,75,0.78798,0.96518,False,2
True,0.86183,True,1006.00000,0.95084,-19.44047,0,False,Express,10,75,0.79523,0.97074,False,3
True,0.84622,True,1086.00000,0.95233,-16.08201,0,False,Express,10,75,0.84807,0.98214,False,4
True,0.94692,True,13037.00000,0.87103,-49.76433,10,False,Express,10,75,0.77104,0.69922,False,0
True,0.92002,True,2113.00000,0.88641,-34.97821,10,False,Express,10,75,0.83436,0.60290,False,1
True,0.91894,True,1394.00000,0.86102,-23.78747,10,False,Express,10,75,0.86442,0.52120,False,2
True,0.89805,True,1079.00000,0.84807,-12.20560,10,False,Express,10,75,0.90361,0.45402,False,3
True,0.91659,True,1103.00000,0.84790,-15.98792,10,False,Express,10,75,0.90390,0.48588,False,4
True,0.88977,True,13118.00000,0.92345,-31.98081,0,False,Express,10,100,0.76719,0.88439,False,0
True,0.87370,True,2122.00000,0.94728,-25.20627,0,False,Express,10,100,0.75966,0.95684,False,1
True,0.85359,True,1489.00000,0.95134,-21.50465,0,False,Express,10,100,0.76091,0.96587,False,2
True,0.87426,True,1018.00000,0.94746,-18.10426,0,False,Express,10,100,0.80943,0.97308,False,3
True,0.84471,True,1172.00000,0.95705,-16.85059,0,False,Express,10,100,0.83106,0.97803,False,4
True,0.95092,True,13263.00000,0.87091,-50.48514,10,False,Express,10,100,0.75956,0.69435,False,0
True,0.93164,True,2165.00000,0.85981,-35.61684,10,False,Express,10,100,0.80323,0.60894,False,1
True,0.92770,True,1563.00000,0.83991,-22.50126,10,False,Express,10,100,0.87716,0.52409,False,2
True,0.91042,True,1027.00000,0.85156,-16.43831,10,False,Express,10,100,0.88997,0.45125,False,3
True,0.90556,True,1133.00000,0.82657,-15.53275,10,False,Express,10,100,0.90644,0.48818,False,4
True,0.90275,True,12998.00000,0.91923,-33.39881,0,False,Sailfish,10,50,0.81074,0.88241,False,0
True,0.84850,True,2132.00000,0.95434,-22.06482,0,False,Sailfish,10,50,0.85131,0.88767,False,1
True,0.86859,True,1423.00000,0.94780,-24.62042,0,False,Sailfish,10,50,0.84540,0.91896,False,2
True,0.88104,True,1118.00000,0.96155,-26.36885,0,False,Sailfish,10,50,0.86494,0.93711,False,3
True,0.86053,True,1054.00000,0.96738,-26.86873,0,False,Sailfish,10,50,0.89184,0.95663,False,4
True,0.94859,True,13266.00000,0.87254,-44.96119,10,False,Sailfish,10,50,0.81886,0.68314,False,0
True,0.91702,True,2133.00000,0.88513,-30.01449,10,False,Sailfish,10,50,0.90248,0.55063,False,1
True,0.91468,True,1465.00000,0.88337,-24.67829,10,False,Sailfish,10,50,0.91877,0.51020,False,2
True,0.92554,True,1061.00000,0.87555,-25.69324,10,False,Sailfish,10,50,0.93308,0.48235,False,3
True,0.92098,True,1139.00000,0.89662,-29.77784,10,False,Sailfish,10,50,0.92888,0.54727,False,4
True,0.88980,True,13022.00000,0.92769,-30.21441,0,False,Sailfish,10,75,0.78513,0.89563,False,0
True,0.84654,True,2170.00000,0.95662,-17.82444,0,False,Sailfish,10,75,0.84608,0.90801,False,1
True,0.86671,True,1448.00000,0.95835,-21.50934,0,False,Sailfish,10,75,0.82390,0.93141,False,2
True,0.86282,True,1006.00000,0.96110,-23.09776,0,False,Sailfish,10,75,0.82903,0.94415,False,3
True,0.87661,True,1086.00000,0.96475,-24.23101,0,False,Sailfish,10,75,0.87201,0.96524,False,4
True,0.93940,True,13037.00000,0.87902,-42.15733,10,False,Sailfish,10,75,0.80295,0.70321,False,0
True,0.91150,True,2113.00000,0.89855,-27.76267,10,False,Sailfish,10,75,0.88027,0.57519,False,1
True,0.90387,True,1394.00000,0.89185,-23.12751,10,False,Sailfish,10,75,0.89311,0.53599,False,2
True,0.91566,True,1079.00000,0.87493,-23.74565,10,False,Sailfish,10,75,0.91937,0.50320,False,3
True,0.90752,True,1103.00000,0.87855,-25.51932,10,False,Sailfish,10,75,0.91387,0.56700,False,4
True,0.88283,True,13118.00000,0.93498,-27.03848,0,False,Sailfish,10,100,0.78449,0.90827,False,0
True,0.85014,True,2122.00000,0.96193,-18.40197,0,False,Sailfish,10,100,0.79689,0.92054,False,1
True,0.85091,True,1489.00000,0.96470,-19.99353,0,False,Sailfish,10,100,0.81330,0.93948,False,2
True,0.85462,True,1018.00000,0.96276,-20.05523,0,False,Sailfish,10,100,0.83497,0.95420,False,3
True,0.87713,True,1172.00000,0.96175,-22.61616,0,False,Sailfish,10,100,0.85239,0.96899,False,4
True,0.93961,True,13263.00000,0.88431,-42.25719,10,False,Sailfish,10,100,0.79379,0.70179,False,0
True,0.89838,True,2165.00000,0.89265,-25.45578,10,False,Sailfish,10,100,0.86790,0.57418,False,1
True,0.90595,True,1563.00000,0.87482,-23.47302,10,False,Sailfish,10,100,0.90787,0.53082,False,2
True,0.92113,True,1027.00000,0.87305,-25.10996,10,False,Sailfish,10,100,0.89776,0.49668,False,3
True,0.91968,True,1133.00000,0.86290,-24.71746,10,False,Sailfish,10,100,0.91792,0.55677,False,4
True,0.88350,True,13099.00000,0.90001,-25.90559,0,False,Cufflinks,10,50,0.79548,0.88041,True,0
True,0.84991,True,2132.00000,0.92839,-16.29553,0,False,Cufflinks,10,50,0.82129,0.90583,True,1
True,0.82570,True,1463.00000,0.94678,-13.19379,0,False,Cufflinks,10,50,0.85578,0.92432,True,2
True,0.81328,True,1039.00000,0.95415,-10.84809,0,False,Cufflinks,10,50,0.87488,0.94728,True,3
True,0.81179,True,1052.00000,0.93056,-13.90391,0,False,Cufflinks,10,50,0.87357,0.96608,True,4
True,0.91878,True,12916.00000,0.87610,-33.35379,10,False,Cufflinks,10,50,0.80985,0.73163,True,0
True,0.89047,True,2109.00000,0.88990,-20.12297,10,False,Cufflinks,10,50,0.88336,0.64549,True,1
True,0.85270,True,1446.00000,0.90883,-12.42455,10,False,Cufflinks,10,50,0.91425,0.63547,True,2
True,0.84672,True,1083.00000,0.90059,-10.69733,10,False,Cufflinks,10,50,0.90674,0.63561,True,3
True,0.86570,True,1102.00000,0.84982,-15.86799,10,False,Cufflinks,10,50,0.88929,0.72418,True,4
True,0.93572,True,13114.00000,0.86176,-53.67501,0,False,Cufflinks,10,75,0.76735,0.89828,True,0
True,0.91746,True,2096.00000,0.88095,-39.94085,0,False,Cufflinks,10,75,0.81107,0.91734,True,1
True,0.90557,True,1419.00000,0.88515,-28.52325,0,False,Cufflinks,10,75,0.80761,0.93403,True,2
True,0.90706,True,1076.00000,0.90171,-10.79079,0,False,Cufflinks,10,75,0.82435,0.95340,True,3
True,0.93486,True,1136.00000,0.87672,-18.93480,0,False,Cufflinks,10,75,0.81602,0.97067,True,4
True,0.91101,True,13102.00000,0.88315,-30.75738,10,False,Cufflinks,10,75,0.79446,0.75954,True,0
True,0.87724,True,2175.00000,0.88168,-18.01517,10,False,Cufflinks,10,75,0.84598,0.67867,True,1
True,0.86584,True,1446.00000,0.90443,-13.47097,10,False,Cufflinks,10,75,0.87206,0.65921,True,2
True,0.86135,True,1053.00000,0.88907,-10.91995,10,False,Cufflinks,10,75,0.88224,0.66605,True,3
True,0.86869,True,1089.00000,0.88985,-14.11663,10,False,Cufflinks,10,75,0.90450,0.74241,True,4
True,0.86245,True,13253.00000,0.91529,-23.11806,0,False,Cufflinks,10,100,0.76752,0.90301,True,0
True,0.83386,True,2203.00000,0.92339,-13.94104,0,False,Cufflinks,10,100,0.78393,0.92166,True,1
True,0.82418,True,1456.00000,0.93957,-10.34494,0,False,Cufflinks,10,100,0.79464,0.93325,True,2
True,0.83845,True,1009.00000,0.94860,-9.46449,0,False,Cufflinks,10,100,0.80079,0.94905,True,3
True,0.82593,True,1103.00000,0.95379,-10.89530,0,False,Cufflinks,10,100,0.83409,0.96998,True,4
True,0.90584,True,13074.00000,0.89467,-29.96204,10,False,Cufflinks,10,100,0.77918,0.78167,True,0
True,0.86389,True,2182.00000,0.89972,-16.32804,10,False,Cufflinks,10,100,0.83639,0.72078,True,1
True,0.84966,True,1450.00000,0.91876,-11.27734,10,False,Cufflinks,10,100,0.87034,0.68472,True,2
True,0.85823,True,1051.00000,0.91182,-10.86400,10,False,Cufflinks,10,100,0.86013,0.69121,True,3
True,0.86787,True,1105.00000,0.90924,-11.21655,10,False,Cufflinks,10,100,0.88778,0.74446,True,4
True,0.96969,True,13099.00000,0.89589,-60.04774,0,False,Salmon,10,50,0.78808,0.86847,True,0
True,0.94465,True,2132.00000,0.91267,-51.41346,0,False,Salmon,10,50,0.82927,0.88445,True,1
True,0.94874,True,1463.00000,0.94415,-49.85817,0,False,Salmon,10,50,0.85441,0.90276,True,2
True,0.94899,True,1039.00000,0.95014,-50.01188,0,False,Salmon,10,50,0.86141,0.92042,True,3
True,0.94962,True,1052.00000,0.96183,-50.97646,0,False,Salmon,10,50,0.86597,0.93887,True,4
True,0.97987,True,12916.00000,0.85675,-64.93617,10,False,Salmon,10,50,0.80327,0.67973,True,0
True,0.96444,True,2109.00000,0.86677,-50.04964,10,False,Salmon,10,50,0.88431,0.53876,True,1
True,0.95920,True,1446.00000,0.88903,-47.43041,10,False,Salmon,10,50,0.91978,0.50686,True,2
True,0.95199,True,1083.00000,0.87192,-43.89039,10,False,Salmon,10,50,0.91874,0.47532,True,3
True,0.96824,True,1102.00000,0.87333,-48.83459,10,False,Salmon,10,50,0.91742,0.53911,True,4
True,0.94990,True,13114.00000,0.90782,-53.73126,0,False,Salmon,10,75,0.78298,0.88146,True,0
True,0.92653,True,2096.00000,0.92055,-44.11128,0,False,Salmon,10,75,0.82729,0.89958,True,1
True,0.91966,True,1419.00000,0.94357,-44.68802,0,False,Salmon,10,75,0.82100,0.91710,True,2
True,0.92844,True,1076.00000,0.94923,-40.20363,0,False,Salmon,10,75,0.83086,0.93393,True,3
True,0.93222,True,1136.00000,0.95541,-43.56034,0,False,Salmon,10,75,0.84771,0.94950,True,4
True,0.97352,True,13102.00000,0.87056,-60.85758,10,False,Salmon,10,75,0.80415,0.68636,True,0
True,0.94713,True,2175.00000,0.84990,-44.61790,10,False,Salmon,10,75,0.87816,0.55415,True,1
True,0.96127,True,1446.00000,0.86670,-43.80033,10,False,Salmon,10,75,0.89627,0.51319,True,2
True,0.94777,True,1053.00000,0.87019,-39.83848,10,False,Salmon,10,75,0.90788,0.48237,True,3
True,0.95592,True,1089.00000,0.86704,-47.27783,10,False,Salmon,10,75,0.92011,0.55313,True,4
True,0.94341,True,13253.00000,0.90957,-50.46179,0,False,Salmon,10,100,0.76820,0.89368,True,0
True,0.90695,True,2203.00000,0.93166,-42.05756,0,False,Salmon,10,100,0.79346,0.91289,True,1
True,0.90728,True,1456.00000,0.93271,-39.47491,0,False,Salmon,10,100,0.79670,0.92723,True,2
True,0.89891,True,1009.00000,0.94398,-38.66256,0,False,Salmon,10,100,0.80178,0.93596,True,3
True,0.91840,True,1103.00000,0.96354,-39.28349,0,False,Salmon,10,100,0.84316,0.96144,True,4
True,0.96979,True,13074.00000,0.87759,-58.37803,10,False,Salmon,10,100,0.79738,0.69380,True,0
True,0.94684,True,2182.00000,0.87144,-41.77469,10,False,Salmon,10,100,0.87351,0.56900,True,1
True,0.95448,True,1450.00000,0.88585,-41.09505,10,False,Salmon,10,100,0.89241,0.51868,True,2
True,0.96194,True,1051.00000,0.87238,-40.86075,10,False,Salmon,10,100,0.89724,0.50092,True,3
True,0.96199,True,1105.00000,0.88701,-43.49895,10,False,Salmon,10,100,0.91403,0.55035,True,4
True,0.83724,True,13099.00000,0.93713,-17.55024,0,False,RSEM,10,50,0.80571,0.91176,True,0
True,0.82036,True,2132.00000,0.95964,-15.91269,0,False,RSEM,10,50,0.82270,0.93951,True,1
True,0.85236,True,1463.00000,0.96741,-17.63780,0,False,RSEM,10,50,0.85646,0.95370,True,2
True,0.84408,True,1039.00000,0.97089,-20.43914,0,False,RSEM,10,50,0.87873,0.96028,True,3
True,0.83840,True,1052.00000,0.97489,-18.52458,0,False,RSEM,10,50,0.88118,0.97224,True,4
True,0.88712,True,12916.00000,0.90098,-31.69070,10,False,RSEM,10,50,0.80900,0.72235,True,0
True,0.87150,True,2109.00000,0.89051,-21.91624,10,False,RSEM,10,50,0.88051,0.59402,True,1
True,0.87137,True,1446.00000,0.90768,-19.67202,10,False,RSEM,10,50,0.92185,0.54474,True,2
True,0.89012,True,1083.00000,0.88833,-21.00994,10,False,RSEM,10,50,0.91874,0.49339,True,3
True,0.88113,True,1102.00000,0.89428,-19.07532,10,False,RSEM,10,50,0.91742,0.55632,True,4
True,0.84833,True,13114.00000,0.93715,-20.07943,0,False,RSEM,10,75,0.78695,0.91883,True,0
True,0.84494,True,2096.00000,0.95710,-14.87734,0,False,RSEM,10,75,0.81107,0.94259,True,1
True,0.86187,True,1419.00000,0.95642,-21.16500,0,False,RSEM,10,75,0.82171,0.95434,True,2
True,0.86245,True,1076.00000,0.95668,-27.04889,0,False,RSEM,10,75,0.83271,0.96633,True,3
True,0.83891,True,1136.00000,0.96259,-23.83614,0,False,RSEM,10,75,0.83715,0.97496,True,4
True,0.89444,True,13102.00000,0.90357,-32.51984,10,False,RSEM,10,75,0.79347,0.75010,True,0
True,0.88046,True,2175.00000,0.89412,-21.51094,10,False,RSEM,10,75,0.84920,0.63721,True,1
True,0.88036,True,1446.00000,0.89425,-20.89056,10,False,RSEM,10,75,0.88451,0.57597,True,2
