bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,transcript length
True,0.95595,True,6061.00000,0.85708,-30.42926,10,False,RSEM,10,75,0.78337,0.75544,False,2
True,0.96044,True,3160.00000,0.82158,-30.88327,10,False,RSEM,10,75,0.79304,0.68642,False,3
True,0.58864,True,1743.00000,0.96570,2.11789,0,False,RSEM,10,100,0.75502,0.95362,False,0
True,0.59150,True,8279.00000,0.94730,-9.03264,0,False,RSEM,10,100,0.77195,0.95098,False,1
True,0.92376,True,5784.00000,0.90974,-22.00682,0,False,RSEM,10,100,0.77922,0.95016,False,2
True,0.96744,True,3133.00000,0.86796,-27.14430,0,False,RSEM,10,100,0.78455,0.95526,False,3
True,0.92832,True,1716.00000,0.95077,-21.60977,10,False,RSEM,10,100,0.78846,0.82706,False,0
True,0.95963,True,8200.00000,0.91267,-29.75896,10,False,RSEM,10,100,0.79061,0.80520,False,1
True,0.97256,True,5903.00000,0.86014,-39.14420,10,False,RSEM,10,100,0.78553,0.77351,False,2
True,0.98386,True,3159.00000,0.82670,-40.77327,10,False,RSEM,10,100,0.79361,0.70695,False,3
True,0.95003,True,1681.00000,0.96788,29.52660,0,False,Kallisto,10,50,0.83046,0.93440,False,0
True,0.61435,True,8290.00000,0.95594,-2.39640,0,False,Kallisto,10,50,0.82425,0.93720,False,1
True,0.95331,True,5761.00000,0.91976,-26.17870,0,False,Kallisto,10,50,0.81132,0.93503,False,2
True,0.98751,True,3123.00000,0.88032,-32.86460,0,False,Kallisto,10,50,0.80852,0.95055,False,3
True,0.74102,True,1753.00000,0.92094,8.12891,10,False,Kallisto,10,50,0.83799,0.78025,False,0
True,0.83494,True,8288.00000,0.90841,-19.33511,10,False,Kallisto,10,50,0.82517,0.74867,False,1
True,0.97406,True,6015.00000,0.85847,-40.23726,10,False,Kallisto,10,50,0.80233,0.73268,False,2
True,0.97498,True,3157.00000,0.82426,-42.29824,10,False,Kallisto,10,50,0.81153,0.66927,False,3
True,0.95647,True,1792.00000,0.97345,27.33809,0,False,Kallisto,10,75,0.79911,0.94571,False,0
True,0.62406,True,8113.00000,0.95623,-2.87696,0,False,Kallisto,10,75,0.79625,0.94412,False,1
True,0.95216,True,5895.00000,0.91551,-25.77212,0,False,Kallisto,10,75,0.79881,0.94238,False,2
True,0.97999,True,3198.00000,0.88830,-31.58347,0,False,Kallisto,10,75,0.81551,0.95101,False,3
True,0.79181,True,1782.00000,0.94724,11.07098,10,False,Kallisto,10,75,0.80640,0.78915,False,0
True,0.77975,True,8218.00000,0.91254,-15.32983,10,False,Kallisto,10,75,0.82258,0.75608,False,1
True,0.96948,True,6061.00000,0.86519,-36.35123,10,False,Kallisto,10,75,0.79475,0.73649,False,2
True,0.97310,True,3160.00000,0.82597,-40.26157,10,False,Kallisto,10,75,0.79778,0.66991,False,3
True,0.97418,True,1743.00000,0.97041,29.43664,0,False,Kallisto,10,100,0.76363,0.94948,False,0
True,0.64947,True,8279.00000,0.95401,-2.04730,0,False,Kallisto,10,100,0.78391,0.94458,False,1
True,0.93689,True,5784.00000,0.91680,-23.89928,0,False,Kallisto,10,100,0.78994,0.94699,False,2
True,0.97830,True,3133.00000,0.87892,-30.64976,0,False,Kallisto,10,100,0.79604,0.95160,False,3
True,0.76632,True,1716.00000,0.94289,8.87105,10,False,Kallisto,10,100,0.80128,0.79636,False,0
True,0.79220,True,8200.00000,0.90794,-16.38793,10,False,Kallisto,10,100,0.80573,0.76513,False,1
True,0.96341,True,5903.00000,0.85772,-35.99120,10,False,Kallisto,10,100,0.79621,0.74026,False,2
True,0.97721,True,3159.00000,0.82390,-39.90300,10,False,Kallisto,10,100,0.80975,0.67246,False,3
True,0.87626,True,1681.00000,0.93016,6.29642,0,False,Express,10,50,0.74717,0.95554,False,0
True,0.80446,True,8290.00000,0.93214,-20.80674,0,False,Express,10,50,0.76164,0.94615,False,1
True,0.95018,True,5761.00000,0.92780,-41.18312,0,False,Express,10,50,0.82434,0.88711,False,2
True,0.96830,True,3123.00000,0.92135,-46.76731,0,False,Express,10,50,0.87032,0.87136,False,3
True,0.83628,True,1753.00000,0.85468,-11.14583,10,False,Express,10,50,0.74843,0.77434,False,0
True,0.92664,True,8288.00000,0.86615,-34.94134,10,False,Express,10,50,0.76762,0.74602,False,1
True,0.97573,True,6015.00000,0.85075,-53.22859,10,False,Express,10,50,0.80599,0.65068,False,2
True,0.96927,True,3157.00000,0.83934,-52.48333,10,False,Express,10,50,0.88502,0.48947,False,3
True,0.92522,True,1792.00000,0.93524,12.27496,0,False,Express,10,75,0.72991,0.96750,False,0
True,0.76310,True,8113.00000,0.93395,-16.23756,0,False,Express,10,75,0.74177,0.95062,False,1
True,0.93469,True,5895.00000,0.92715,-37.16879,0,False,Express,10,75,0.82290,0.87950,False,2
True,0.96529,True,3198.00000,0.92089,-41.93614,0,False,Express,10,75,0.88305,0.86218,False,3
True,0.83446,True,1782.00000,0.89722,-11.06159,10,False,Express,10,75,0.71773,0.81278,False,0
True,0.89706,True,8218.00000,0.87314,-30.22981,10,False,Express,10,75,0.76028,0.76518,False,1
True,0.96634,True,6061.00000,0.85454,-47.94599,10,False,Express,10,75,0.80713,0.65026,False,2
True,0.97215,True,3160.00000,0.84714,-49.99630,10,False,Express,10,75,0.87943,0.47982,False,3
True,0.92943,True,1743.00000,0.93676,1.30046,0,False,Express,10,100,0.68847,0.97487,False,0
True,0.78596,True,8279.00000,0.92747,-19.50582,0,False,Express,10,100,0.72303,0.95613,False,1
True,0.92012,True,5784.00000,0.92594,-34.11827,0,False,Express,10,100,0.80930,0.88865,False,2
True,0.95436,True,3133.00000,0.92950,-38.51281,0,False,Express,10,100,0.87456,0.86759,False,3
True,0.84382,True,1716.00000,0.89733,-9.07650,10,False,Express,10,100,0.71970,0.83480,False,0
True,0.88463,True,8200.00000,0.87251,-29.68217,10,False,Express,10,100,0.73805,0.78765,False,1
True,0.96154,True,5903.00000,0.85418,-44.36056,10,False,Express,10,100,0.81044,0.65738,False,2
True,0.97088,True,3159.00000,0.84069,-45.75742,10,False,Express,10,100,0.89364,0.48180,False,3
True,0.84830,True,1681.00000,0.92984,17.78293,0,False,Sailfish,10,50,0.84890,0.84995,False,0
True,0.71508,True,8290.00000,0.92761,-13.32302,0,False,Sailfish,10,50,0.82328,0.90060,False,1
True,0.98507,True,5761.00000,0.88660,-43.00788,0,False,Sailfish,10,50,0.78459,0.93422,False,2
True,0.99232,True,3123.00000,0.86573,-45.61937,0,False,Sailfish,10,50,0.79155,0.95363,False,3
True,0.74102,True,1753.00000,0.87009,-2.41627,10,False,Sailfish,10,50,0.85910,0.66799,False,0
True,0.95005,True,8288.00000,0.87017,-30.08250,10,False,Sailfish,10,50,0.83205,0.70296,False,1
True,0.97972,True,6015.00000,0.81508,-54.48831,10,False,Sailfish,10,50,0.77623,0.73673,False,2
True,0.98353,True,3157.00000,0.80143,-54.03555,10,False,Sailfish,10,50,0.79411,0.68099,False,3
True,0.89286,True,1792.00000,0.94686,20.60345,0,False,Sailfish,10,75,0.81529,0.87930,False,0
True,0.67620,True,8113.00000,0.93680,-10.24398,0,False,Sailfish,10,75,0.79896,0.91622,False,1
True,0.97659,True,5895.00000,0.89386,-37.44964,0,False,Sailfish,10,75,0.78185,0.93957,False,2
True,0.98437,True,3198.00000,0.86746,-41.58295,0,False,Sailfish,10,75,0.79800,0.95257,False,3
True,0.71998,True,1782.00000,0.91508,1.18273,10,False,Sailfish,10,75,0.82323,0.69828,False,0
True,0.92273,True,8218.00000,0.87769,-24.38332,10,False,Sailfish,10,75,0.82964,0.71583,False,1
True,0.97954,True,6061.00000,0.83509,-48.68620,10,False,Sailfish,10,75,0.77545,0.73584,False,2
True,0.97563,True,3160.00000,0.80768,-50.47095,10,False,Sailfish,10,75,0.78323,0.67919,False,3
True,0.95238,True,1743.00000,0.95192,23.09198,0,False,Sailfish,10,100,0.78026,0.90345,False,0
True,0.65527,True,8279.00000,0.93890,-7.91793,0,False,Sailfish,10,100,0.78415,0.92387,False,1
True,0.96438,True,5784.00000,0.89975,-32.60017,0,False,Sailfish,10,100,0.77801,0.94382,False,2
True,0.98787,True,3133.00000,0.86882,-38.00863,0,False,Sailfish,10,100,0.78423,0.95380,False,3
True,0.71212,True,1716.00000,0.90966,1.78927,10,False,Sailfish,10,100,0.82984,0.72000,False,0
True,0.91622,True,8200.00000,0.87947,-23.45452,10,False,Sailfish,10,100,0.80939,0.72982,False,1
True,0.97544,True,5903.00000,0.83129,-45.29119,10,False,Sailfish,10,100,0.78045,0.73588,False,2
True,0.98101,True,3159.00000,0.80965,-47.97786,10,False,Sailfish,10,100,0.79361,0.67178,False,3
True,0.92861,True,1737.00000,0.87084,35.82853,0,False,Cufflinks,10,50,0.84226,0.87812,True,0
True,0.81940,True,8123.00000,0.87142,-8.87295,0,False,Cufflinks,10,50,0.81435,0.91267,True,1
True,0.91685,True,5893.00000,0.85274,-43.84310,0,False,Cufflinks,10,50,0.78228,0.94374,True,2
True,0.95811,True,3008.00000,0.84429,-48.90818,0,False,Cufflinks,10,50,0.78391,0.95878,True,3
True,0.87080,True,1726.00000,0.84412,17.38726,10,False,Cufflinks,10,50,0.82445,0.75964,True,0
True,0.77169,True,8265.00000,0.84664,-13.83906,10,False,Cufflinks,10,50,0.81391,0.77376,True,1
True,0.96650,True,5910.00000,0.81915,-41.35071,10,False,Cufflinks,10,50,0.78477,0.81420,True,2
True,0.98330,True,3114.00000,0.81275,-45.01462,10,False,Cufflinks,10,50,0.79448,0.82984,True,3
True,0.93103,True,1798.00000,0.90856,29.41997,0,False,Cufflinks,10,75,0.79533,0.90395,True,0
True,0.78108,True,8245.00000,0.89591,-8.19547,0,False,Cufflinks,10,75,0.78460,0.92079,True,1
True,0.90483,True,5895.00000,0.88635,-37.64329,0,False,Cufflinks,10,75,0.77608,0.94545,True,2
True,0.95484,True,3100.00000,0.87574,-44.08606,0,False,Cufflinks,10,75,0.79097,0.95728,True,3
True,0.89704,True,1758.00000,0.87638,20.48673,10,False,Cufflinks,10,75,0.81172,0.78642,True,0
True,0.77042,True,8250.00000,0.87077,-12.53475,10,False,Cufflinks,10,75,0.79333,0.79395,True,1
True,0.95832,True,5854.00000,0.84289,-40.29323,10,False,Cufflinks,10,75,0.77383,0.82495,True,2
True,0.97912,True,3113.00000,0.84644,-45.74035,10,False,Cufflinks,10,75,0.78831,0.83336,True,3
True,0.96871,True,1726.00000,0.91881,30.54220,0,False,Cufflinks,10,100,0.76362,0.91742,True,0
True,0.74789,True,8159.00000,0.91401,-2.66893,0,False,Cufflinks,10,100,0.77081,0.93105,True,1
True,0.89271,True,5909.00000,0.89091,-29.63173,0,False,Cufflinks,10,100,0.77238,0.94877,True,2
True,0.97410,True,3127.00000,0.86075,-34.79083,0,False,Cufflinks,10,100,0.79181,0.95420,True,3
True,0.93220,True,1770.00000,0.89816,23.44968,10,False,Cufflinks,10,100,0.79605,0.83436,True,0
True,0.73162,True,8216.00000,0.88746,-8.81801,10,False,Cufflinks,10,100,0.78152,0.82818,True,1
True,0.96527,True,5874.00000,0.86567,-34.56702,10,False,Cufflinks,10,100,0.77375,0.83793,True,2
True,0.97739,True,3140.00000,0.85306,-37.05365,10,False,Cufflinks,10,100,0.79363,0.84959,True,3
True,0.88025,True,1737.00000,0.83225,-20.74194,0,False,Salmon,10,50,0.83823,0.82383,True,0
True,0.97476,True,8123.00000,0.81898,-52.06414,0,False,Salmon,10,50,0.78333,0.88637,True,1
True,0.99457,True,5893.00000,0.84459,-72.82924,0,False,Salmon,10,50,0.74512,0.93475,True,2
True,0.99634,True,3008.00000,0.84329,-71.36756,0,False,Salmon,10,50,0.74934,0.88852,True,3
True,0.91947,True,1726.00000,0.80299,-27.30354,10,False,Salmon,10,50,0.84009,0.65962,True,0
True,0.97314,True,8265.00000,0.79213,-53.26725,10,False,Salmon,10,50,0.80315,0.70151,True,1
True,0.99069,True,5910.00000,0.77565,-74.15991,10,False,Salmon,10,50,0.74653,0.75296,True,2
True,0.98876,True,3114.00000,0.77914,-73.29521,10,False,Salmon,10,50,0.76590,0.66889,True,3
True,0.82536,True,1798.00000,0.88867,-10.64532,0,False,Salmon,10,75,0.79588,0.85309,True,0
True,0.96422,True,8245.00000,0.84199,-44.22629,0,False,Salmon,10,75,0.75282,0.89767,True,1
True,0.99372,True,5895.00000,0.87657,-64.48030,0,False,Salmon,10,75,0.75488,0.93350,True,2
True,0.99710,True,3100.00000,0.86886,-66.43911,0,False,Salmon,10,75,0.76000,0.89104,True,3
True,0.90614,True,1758.00000,0.82961,-21.19941,10,False,Salmon,10,75,0.83220,0.68188,True,0
True,0.97006,True,8250.00000,0.81894,-48.97724,10,False,Salmon,10,75,0.78606,0.70888,True,1
True,0.99129,True,5854.00000,0.81248,-69.32559,10,False,Salmon,10,75,0.75692,0.75272,True,2
True,0.98811,True,3113.00000,0.81422,-70.61340,10,False,Salmon,10,75,0.77546,0.66642,True,3
True,0.75840,True,1726.00000,0.89381,-2.12773,0,False,Salmon,10,100,0.77636,0.87771,True,0
True,0.91310,True,8159.00000,0.86880,-35.84231,0,False,Salmon,10,100,0.74568,0.91053,True,1
True,0.98934,True,5909.00000,0.88422,-57.66537,0,False,Salmon,10,100,0.76392,0.93433,True,2
True,0.99520,True,3127.00000,0.86180,-60.77661,0,False,Salmon,10,100,0.77007,0.88231,True,3
True,0.87684,True,1770.00000,0.85615,-16.72827,10,False,Salmon,10,100,0.82147,0.72238,True,0
True,0.96081,True,8216.00000,0.84321,-42.79627,10,False,Salmon,10,100,0.78432,0.73646,True,1
True,0.98672,True,5874.00000,0.83453,-64.47923,10,False,Salmon,10,100,0.76098,0.75683,True,2
True,0.98790,True,3140.00000,0.82396,-66.86769,10,False,Salmon,10,100,0.77994,0.68009,True,3
True,0.52274,True,1737.00000,0.91261,-1.76418,0,False,RSEM,10,50,0.82153,0.92077,True,0
True,0.60199,True,8123.00000,0.89515,-7.02487,0,False,RSEM,10,50,0.81374,0.92766,True,1
True,0.80621,True,5893.00000,0.88752,-22.26856,0,False,RSEM,10,50,0.80197,0.94061,True,2
True,0.92586,True,3008.00000,0.85960,-22.20768,0,False,RSEM,10,50,0.80851,0.95641,True,3
True,0.92932,True,1726.00000,0.84881,-17.72364,10,False,RSEM,10,50,0.79780,0.77197,True,0
True,0.93358,True,8265.00000,0.83863,-22.97613,10,False,RSEM,10,50,0.80339,0.75461,True,1
True,0.96261,True,5910.00000,0.82214,-35.62700,10,False,RSEM,10,50,0.78190,0.75212,True,2
True,0.95665,True,3114.00000,0.79333,-32.40685,10,False,RSEM,10,50,0.79769,0.68454,True,3
True,0.57564,True,1798.00000,0.93113,2.16748,0,False,RSEM,10,75,0.77419,0.93718,True,0
True,0.58605,True,8245.00000,0.91359,-5.99654,0,False,RSEM,10,75,0.78047,0.93647,True,1
True,0.81696,True,5895.00000,0.91302,-19.89286,0,False,RSEM,10,75,0.79016,0.94579,True,2
True,0.93161,True,3100.00000,0.88684,-23.84579,0,False,RSEM,10,75,0.80194,0.95728,True,3
True,0.84869,True,1758.00000,0.88079,-14.00254,10,False,RSEM,10,75,0.78896,0.80046,True,0
True,0.93576,True,8250.00000,0.86746,-21.51329,10,False,RSEM,10,75,0.77976,0.77886,True,1
True,0.95815,True,5854.00000,0.85511,-33.48641,10,False,RSEM,10,75,0.78186,0.76916,True,2
True,0.96595,True,3113.00000,0.82429,-33.24639,10,False,RSEM,10,75,0.79794,0.69961,True,3
True,0.58922,True,1726.00000,0.94308,-0.09452,0,False,RSEM,10,100,0.75377,0.94779,True,0
True,0.64224,True,8159.00000,0.93279,-10.10323,0,False,RSEM,10,100,0.77142,0.94514,True,1
True,0.93603,True,5909.00000,0.91036,-23.36712,0,False,RSEM,10,100,0.78101,0.95197,True,2
True,0.97314,True,3127.00000,0.87433,-27.55244,0,False,RSEM,10,100,0.79373,0.95571,True,3
True,0.78531,True,1770.00000,0.90904,-13.12472,10,False,RSEM,10,100,0.78644,0.84329,True,0
True,0.92600,True,8216.00000,0.89276,-22.70919,10,False,RSEM,10,100,0.78019,0.81664,True,1
True,0.96902,True,5874.00000,0.87207,-34.82231,10,False,RSEM,10,100,0.77579,0.79136,True,2
True,0.97102,True,3140.00000,0.84591,-35.17036,10,False,RSEM,10,100,0.79459,0.72343,True,3
True,0.94819,True,1737.00000,0.94198,24.57421,0,False,Kallisto,10,50,0.83995,0.91936,True,0
True,0.60729,True,8123.00000,0.93478,-5.54681,0,False,Kallisto,10,50,0.83762,0.93704,True,1
True,0.96436,True,5893.00000,0.92312,-28.30807,0,False,Kallisto,10,50,0.82691,0.94100,True,2
True,0.98570,True,3008.00000,0.88275,-34.34404,0,False,Kallisto,10,50,0.81217,0.95573,True,3
True,0.79490,True,1726.00000,0.90893,9.55088,10,False,Kallisto,10,50,0.82155,0.79063,True,0
True,0.80774,True,8265.00000,0.88437,-17.42683,10,False,Kallisto,10,50,0.81682,0.76684,True,1
True,0.96971,True,5910.00000,0.85280,-37.35787,10,False,Kallisto,10,50,0.80389,0.74514,True,2
True,0.97463,True,3114.00000,0.82477,-40.30120,10,False,Kallisto,10,50,0.81471,0.67542,True,3
True,0.95662,True,1798.00000,0.95743,26.62350,0,False,Kallisto,10,75,0.79978,0.93532,True,0
True,0.62680,True,8245.00000,0.94377,-4.23782,0,False,Kallisto,10,75,0.80158,0.94370,True,1
True,0.95657,True,5895.00000,0.93579,-25.33098,0,False,Kallisto,10,75,0.80221,0.94517,True,2
True,0.98677,True,3100.00000,0.90712,-32.54509,0,False,Kallisto,10,75,0.81032,0.95431,True,3
True,0.75313,True,1758.00000,0.90904,7.95131,10,False,Kallisto,10,75,0.81172,0.79728,True,0
True,0.84594,True,8250.00000,0.89584,-19.82166,10,False,Kallisto,10,75,0.79576,0.76805,True,1
True,0.96754,True,5854.00000,0.86921,-38.40591,10,False,Kallisto,10,75,0.79928,0.75022,True,2
True,0.97077,True,3113.00000,0.84372,-42.10014,10,False,Kallisto,10,75,0.81561,0.68246,True,3
True,0.95829,True,1726.00000,0.96121,27.88307,0,False,Kallisto,10,100,0.77173,0.94304,True,0
True,0.64285,True,8159.00000,0.95142,-2.28074,0,False,Kallisto,10,100,0.78527,0.94884,True,1
True,0.93738,True,5909.00000,0.92781,-23.66443,0,False,Kallisto,10,100,0.79777,0.94965,True,2
True,0.98337,True,3127.00000,0.89194,-29.83108,0,False,Kallisto,10,100,0.80748,0.95108,True,3
True,0.72599,True,1770.00000,0.92088,7.49111,10,False,Kallisto,10,100,0.80791,0.81492,True,0
True,0.84262,True,8216.00000,0.90626,-19.47984,10,False,Kallisto,10,100,0.79236,0.78509,True,1
True,0.97327,True,5874.00000,0.88679,-38.65797,10,False,Kallisto,10,100,0.79094,0.76131,True,2
True,0.97675,True,3140.00000,0.84686,-41.23978,10,False,Kallisto,10,100,0.80669,0.69790,True,3
True,0.83189,True,1737.00000,0.87826,3.01159,0,False,Express,10,50,0.75590,0.94025,True,0
True,0.82827,True,8123.00000,0.89450,-24.21094,0,False,Express,10,50,0.77508,0.93514,True,1
True,0.97455,True,5893.00000,0.91529,-45.90140,0,False,Express,10,50,0.82742,0.89563,True,2
True,0.97773,True,3008.00000,0.91872,-48.40660,0,False,Express,10,50,0.86868,0.88745,True,3
True,0.82793,True,1726.00000,0.80449,-12.48839,10,False,Express,10,50,0.73117,0.78975,True,0
True,0.94918,True,8265.00000,0.81773,-37.53172,10,False,Express,10,50,0.76152,0.75897,True,1
True,0.97597,True,5910.00000,0.83638,-55.20546,10,False,Express,10,50,0.80102,0.68497,True,2
True,0.97431,True,3114.00000,0.82467,-54.52948,10,False,Express,10,50,0.87765,0.52574,True,3
True,0.91824,True,1798.00000,0.90974,7.13083,0,False,Express,10,75,0.70968,0.96004,True,0
True,0.78059,True,8245.00000,0.90924,-20.48887,0,False,Express,10,75,0.75124,0.94411,True,1
True,0.95861,True,5895.00000,0.93313,-38.30777,0,False,Express,10,75,0.82358,0.89377,True,2
True,0.97323,True,3100.00000,0.93025,-44.60212,0,False,Express,10,75,0.86742,0.87638,True,3
True,0.81911,True,1758.00000,0.82352,-10.51175,10,False,Express,10,75,0.71274,0.82324,True,0
True,0.93333,True,8250.00000,0.84195,-34.61705,10,False,Express,10,75,0.73539,0.77705,True,1
True,0.96925,True,5854.00000,0.85639,-50.55238,10,False,Express,10,75,0.80048,0.68720,True,2
True,0.96916,True,3113.00000,0.84955,-51.53219,10,False,Express,10,75,0.87633,0.52108,True,3
True,0.93453,True,1726.00000,0.90682,7.38691,0,False,Express,10,100,0.68772,0.96883,True,0
True,0.77191,True,8159.00000,0.92523,-16.68152,0,False,Express,10,100,0.73833,0.95032,True,1
True,0.93908,True,5909.00000,0.92455,-33.27111,0,False,Express,10,100,0.82434,0.89248,True,2
True,0.96226,True,3127.00000,0.93113,-41.61722,0,False,Express,10,100,0.87464,0.86778,True,3
