bias,error-frac,errors,expressed-tpms,gene transcript number,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.84862,True,2616.00000,3,0.85356,-25.53036,10,False,Cufflinks,10,75,0.78058,0.76914,False
True,0.87441,True,3185.00000,4,0.81102,-30.72482,10,False,Cufflinks,10,75,0.74757,0.75627,False
True,0.84127,True,3383.00000,0,0.91330,-21.18363,0,False,Cufflinks,10,100,0.81910,0.96543,False
True,0.83073,True,5447.00000,1,0.91386,-21.00623,0,False,Cufflinks,10,100,0.78906,0.94570,False
True,0.84407,True,4284.00000,2,0.90500,-22.62524,0,False,Cufflinks,10,100,0.77358,0.93307,False
True,0.85845,True,2621.00000,3,0.89417,-22.54886,0,False,Cufflinks,10,100,0.75696,0.92257,False
True,0.86610,True,3204.00000,4,0.87694,-26.73588,0,False,Cufflinks,10,100,0.71442,0.92127,False
True,0.84953,True,3376.00000,0,0.90712,-23.71458,10,False,Cufflinks,10,100,0.84212,0.86886,False
True,0.83857,True,5507.00000,1,0.89533,-23.53386,10,False,Cufflinks,10,100,0.80588,0.83874,False
True,0.85061,True,4244.00000,2,0.87080,-23.92245,10,False,Cufflinks,10,100,0.78652,0.81242,False
True,0.84951,True,2678.00000,3,0.85697,-25.17362,10,False,Cufflinks,10,100,0.76960,0.79600,False
True,0.87299,True,3173.00000,4,0.82072,-30.35235,10,False,Cufflinks,10,100,0.72802,0.77706,False
True,0.97249,True,3490.00000,0,0.91721,-56.14675,0,False,Salmon,10,50,0.82923,0.93690,False
True,0.97188,True,5335.00000,1,0.88595,-58.35997,0,False,Salmon,10,50,0.79625,0.90702,False
True,0.96464,True,4214.00000,2,0.86662,-58.84330,0,False,Salmon,10,50,0.77385,0.88996,False
True,0.96748,True,2583.00000,3,0.85926,-60.90621,0,False,Salmon,10,50,0.74177,0.87333,False
True,0.96567,True,3233.00000,4,0.78977,-61.96257,0,False,Salmon,10,50,0.73214,0.86838,False
True,0.97529,True,3561.00000,0,0.88176,-62.94705,10,False,Salmon,10,50,0.83741,0.74358,False
True,0.97724,True,5493.00000,1,0.84106,-63.56733,10,False,Salmon,10,50,0.81467,0.71415,False
True,0.97728,True,4402.00000,2,0.80324,-63.41712,10,False,Salmon,10,50,0.79714,0.68413,False
True,0.97040,True,2568.00000,3,0.78828,-63.78976,10,False,Salmon,10,50,0.77609,0.68208,False
True,0.97335,True,3189.00000,4,0.70706,-66.96080,10,False,Salmon,10,50,0.73785,0.66488,False
True,0.96437,True,3480.00000,0,0.91864,-53.78726,0,False,Salmon,10,75,0.81580,0.94355,False
True,0.96454,True,5471.00000,1,0.88788,-54.66371,0,False,Salmon,10,75,0.78359,0.91791,False
True,0.95185,True,4403.00000,2,0.87678,-55.64673,0,False,Salmon,10,75,0.76766,0.89827,False
True,0.96507,True,2548.00000,3,0.85873,-56.24270,0,False,Salmon,10,75,0.75589,0.88926,False
True,0.95736,True,3096.00000,4,0.82932,-59.07901,0,False,Salmon,10,75,0.71059,0.88553,False
True,0.96853,True,3464.00000,0,0.89205,-55.76260,10,False,Salmon,10,75,0.83949,0.74486,False
True,0.96878,True,5606.00000,1,0.84474,-56.77289,10,False,Salmon,10,75,0.80592,0.71586,False
True,0.96805,True,4350.00000,2,0.82270,-56.23041,10,False,Salmon,10,75,0.78989,0.69503,False
True,0.96980,True,2616.00000,3,0.80175,-56.55021,10,False,Salmon,10,75,0.77446,0.68319,False
True,0.96578,True,3185.00000,4,0.75338,-58.21999,10,False,Salmon,10,75,0.74317,0.67810,False
True,0.94413,True,3383.00000,0,0.92055,-47.25847,0,False,Salmon,10,100,0.81644,0.95034,False
True,0.94346,True,5447.00000,1,0.89216,-49.06566,0,False,Salmon,10,100,0.77033,0.92303,False
True,0.93884,True,4284.00000,2,0.88474,-50.34534,0,False,Salmon,10,100,0.76214,0.90384,False
True,0.92789,True,2621.00000,3,0.86916,-49.41193,0,False,Salmon,10,100,0.74590,0.89466,False
True,0.93352,True,3204.00000,4,0.85220,-53.14901,0,False,Salmon,10,100,0.69913,0.89096,False
True,0.97245,True,3376.00000,0,0.89479,-55.45172,10,False,Salmon,10,100,0.84271,0.75165,False
True,0.96731,True,5507.00000,1,0.86296,-55.53770,10,False,Salmon,10,100,0.80243,0.72403,False
True,0.96631,True,4244.00000,2,0.82905,-55.42403,10,False,Salmon,10,100,0.79265,0.70896,False
True,0.96527,True,2678.00000,3,0.80838,-56.23475,10,False,Salmon,10,100,0.77072,0.70329,False
True,0.96691,True,3173.00000,4,0.75736,-57.18678,10,False,Salmon,10,100,0.74188,0.68628,False
True,0.49198,True,3490.00000,0,0.95220,-7.51079,0,False,RSEM,10,50,0.87077,0.96087,False
True,0.58276,True,5335.00000,1,0.93097,-9.14444,0,False,RSEM,10,50,0.82812,0.94637,False
True,0.63882,True,4214.00000,2,0.92281,-11.52833,0,False,RSEM,10,50,0.80185,0.93762,False
True,0.68099,True,2583.00000,3,0.91821,-14.13749,0,False,RSEM,10,50,0.77391,0.92991,False
True,0.72843,True,3233.00000,4,0.87613,-19.54988,0,False,RSEM,10,50,0.74667,0.92111,False
True,0.95338,True,3561.00000,0,0.90769,-23.39872,10,False,RSEM,10,50,0.85341,0.75045,False
True,0.94156,True,5493.00000,1,0.88342,-24.57286,10,False,RSEM,10,50,0.82596,0.74044,False
True,0.94525,True,4402.00000,2,0.85727,-27.62365,10,False,RSEM,10,50,0.80304,0.72271,False
True,0.94315,True,2568.00000,3,0.84877,-30.05233,10,False,RSEM,10,50,0.77570,0.72617,False
True,0.94638,True,3189.00000,4,0.80685,-35.20123,10,False,RSEM,10,50,0.74882,0.71607,False
True,0.59023,True,3480.00000,0,0.94539,-9.94493,0,False,RSEM,10,75,0.84310,0.96426,False
True,0.62237,True,5471.00000,1,0.93069,-10.00164,0,False,RSEM,10,75,0.81046,0.95379,False
True,0.66159,True,4403.00000,2,0.92587,-11.81873,0,False,RSEM,10,75,0.78560,0.94208,False
True,0.69427,True,2548.00000,3,0.92003,-13.56187,0,False,RSEM,10,75,0.77355,0.93881,False
True,0.75000,True,3096.00000,4,0.88842,-20.56458,0,False,RSEM,10,75,0.71318,0.93307,False
True,0.92725,True,3464.00000,0,0.91109,-22.41384,10,False,RSEM,10,75,0.85450,0.76805,False
True,0.92276,True,5606.00000,1,0.89119,-23.77706,10,False,RSEM,10,75,0.81306,0.76478,False
True,0.91885,True,4350.00000,2,0.87999,-24.87288,10,False,RSEM,10,75,0.78713,0.75109,False
True,0.92317,True,2616.00000,3,0.86729,-26.49396,10,False,RSEM,10,75,0.77102,0.74676,False
True,0.92810,True,3185.00000,4,0.83348,-31.00106,10,False,RSEM,10,75,0.74223,0.74444,False
True,0.77062,True,3383.00000,0,0.94099,-16.27524,0,False,RSEM,10,100,0.83033,0.96906,False
True,0.73600,True,5447.00000,1,0.93000,-16.73634,0,False,RSEM,10,100,0.78777,0.95503,False
True,0.74370,True,4284.00000,2,0.92663,-17.91325,0,False,RSEM,10,100,0.77171,0.94882,False
True,0.75773,True,2621.00000,3,0.91960,-19.07969,0,False,RSEM,10,100,0.75467,0.94157,False
True,0.78308,True,3204.00000,4,0.89726,-23.33307,0,False,RSEM,10,100,0.71411,0.93880,False
True,0.96949,True,3376.00000,0,0.92201,-34.14720,10,False,RSEM,10,100,0.84923,0.78917,False
True,0.96622,True,5507.00000,1,0.90208,-35.02734,10,False,RSEM,10,100,0.80207,0.78867,False
True,0.96136,True,4244.00000,2,0.88416,-36.03554,10,False,RSEM,10,100,0.78770,0.77958,False
True,0.96303,True,2678.00000,3,0.86773,-37.16270,10,False,RSEM,10,100,0.76736,0.77770,False
True,0.96376,True,3173.00000,4,0.83727,-41.57899,10,False,RSEM,10,100,0.72424,0.76387,False
True,0.82034,True,3490.00000,0,0.95520,-20.73496,0,False,Kallisto,10,50,0.86963,0.96131,False
True,0.79869,True,5335.00000,1,0.93578,-20.25803,0,False,Kallisto,10,50,0.83693,0.94464,False
True,0.80043,True,4214.00000,2,0.92878,-19.95847,0,False,Kallisto,10,50,0.81134,0.93458,False
True,0.80836,True,2583.00000,3,0.92601,-20.81835,0,False,Kallisto,10,50,0.79133,0.92606,False
True,0.82926,True,3233.00000,4,0.89498,-23.00275,0,False,Kallisto,10,50,0.76245,0.91811,False
True,0.90817,True,3561.00000,0,0.91614,-32.01397,10,False,Kallisto,10,50,0.86408,0.75633,False
True,0.88203,True,5493.00000,1,0.89235,-31.38306,10,False,Kallisto,10,50,0.83488,0.74297,False
True,0.88437,True,4402.00000,2,0.87070,-31.87139,10,False,Kallisto,10,50,0.81554,0.72289,False
True,0.89486,True,2568.00000,3,0.86380,-32.66979,10,False,Kallisto,10,50,0.78699,0.72387,False
True,0.90499,True,3189.00000,4,0.81808,-35.22195,10,False,Kallisto,10,50,0.75949,0.71406,False
True,0.83333,True,3480.00000,0,0.94886,-22.00144,0,False,Kallisto,10,75,0.84885,0.96386,False
True,0.80680,True,5471.00000,1,0.93460,-20.57589,0,False,Kallisto,10,75,0.81831,0.95228,False
True,0.80286,True,4403.00000,2,0.92982,-20.02068,0,False,Kallisto,10,75,0.80263,0.93945,False
True,0.81790,True,2548.00000,3,0.92808,-20.87680,0,False,Kallisto,10,75,0.78218,0.93372,False
True,0.83689,True,3096.00000,4,0.90441,-24.51024,0,False,Kallisto,10,75,0.72707,0.92769,False
True,0.88482,True,3464.00000,0,0.91536,-29.52736,10,False,Kallisto,10,75,0.85855,0.75681,False
True,0.86818,True,5606.00000,1,0.89567,-28.34993,10,False,Kallisto,10,75,0.82019,0.74685,False
True,0.86598,True,4350.00000,2,0.88946,-28.73421,10,False,Kallisto,10,75,0.80115,0.73058,False
True,0.86200,True,2616.00000,3,0.86512,-28.35524,10,False,Kallisto,10,75,0.78746,0.72896,False
True,0.88414,True,3185.00000,4,0.83668,-31.35520,10,False,Kallisto,10,75,0.75918,0.72403,False
True,0.83269,True,3383.00000,0,0.94124,-20.28884,0,False,Kallisto,10,100,0.83624,0.96672,False
True,0.81219,True,5447.00000,1,0.93386,-19.17071,0,False,Kallisto,10,100,0.79971,0.95271,False
True,0.81769,True,4284.00000,2,0.93214,-19.91225,0,False,Kallisto,10,100,0.78268,0.94272,False
True,0.82564,True,2621.00000,3,0.92718,-19.77233,0,False,Kallisto,10,100,0.76726,0.93510,False
True,0.82740,True,3204.00000,4,0.90244,-21.96911,0,False,Kallisto,10,100,0.72878,0.93055,False
True,0.88685,True,3376.00000,0,0.91804,-29.77852,10,False,Kallisto,10,100,0.85930,0.76143,False
True,0.86672,True,5507.00000,1,0.89681,-29.08132,10,False,Kallisto,10,100,0.81151,0.75050,False
True,0.86687,True,4244.00000,2,0.87653,-29.30871,10,False,Kallisto,10,100,0.79595,0.74158,False
True,0.87117,True,2678.00000,3,0.85742,-29.08193,10,False,Kallisto,10,100,0.78865,0.73957,False
True,0.88434,True,3173.00000,4,0.82816,-32.22385,10,False,Kallisto,10,100,0.75008,0.72601,False
True,0.86819,True,3490.00000,0,0.95355,-29.34910,0,False,Express,10,50,0.85559,0.95064,False
True,0.87929,True,5335.00000,1,0.93173,-34.17916,0,False,Express,10,50,0.81293,0.92875,False
True,0.87874,True,4214.00000,2,0.92835,-35.93731,0,False,Express,10,50,0.78880,0.91600,False
True,0.89470,True,2583.00000,3,0.92108,-39.48368,0,False,Express,10,50,0.75687,0.90071,False
True,0.89855,True,3233.00000,4,0.87594,-41.58236,0,False,Express,10,50,0.75317,0.86941,False
True,0.93990,True,3561.00000,0,0.89456,-41.12827,10,False,Express,10,50,0.84667,0.67015,False
True,0.93774,True,5493.00000,1,0.87003,-44.31215,10,False,Express,10,50,0.80885,0.68596,False
True,0.94343,True,4402.00000,2,0.84526,-46.23087,10,False,Express,10,50,0.79010,0.67605,False
True,0.93731,True,2568.00000,3,0.83608,-48.75467,10,False,Express,10,50,0.76674,0.68273,False
True,0.94606,True,3189.00000,4,0.78886,-51.91470,10,False,Express,10,50,0.75604,0.66238,False
True,0.86178,True,3480.00000,0,0.95286,-26.32752,0,False,Express,10,75,0.84167,0.94915,False
True,0.86328,True,5471.00000,1,0.93261,-29.60941,0,False,Express,10,75,0.79967,0.92825,False
True,0.86555,True,4403.00000,2,0.92667,-32.42630,0,False,Express,10,75,0.78288,0.91024,False
True,0.85793,True,2548.00000,3,0.91781,-31.22905,0,False,Express,10,75,0.77159,0.90097,False
True,0.88081,True,3096.00000,4,0.89016,-40.34676,0,False,Express,10,75,0.73773,0.87527,False
True,0.92639,True,3464.00000,0,0.89983,-37.97695,10,False,Express,10,75,0.84382,0.67019,False
True,0.92918,True,5606.00000,1,0.87267,-41.24776,10,False,Express,10,75,0.79575,0.69371,False
True,0.92069,True,4350.00000,2,0.86017,-42.59697,10,False,Express,10,75,0.78253,0.69634,False
True,0.92278,True,2616.00000,3,0.84916,-42.18520,10,False,Express,10,75,0.77791,0.68562,False
True,0.92653,True,3185.00000,4,0.81491,-47.62874,10,False,Express,10,75,0.74568,0.67972,False
True,0.85693,True,3383.00000,0,0.95140,-25.20839,0,False,Express,10,100,0.83181,0.95216,False
True,0.86011,True,5447.00000,1,0.93678,-28.55162,0,False,Express,10,100,0.78098,0.93318,False
True,0.86811,True,4284.00000,2,0.92451,-31.17115,0,False,Express,10,100,0.76611,0.91931,False
True,0.87409,True,2621.00000,3,0.91551,-32.41250,0,False,Express,10,100,0.74933,0.91004,False
True,0.88795,True,3204.00000,4,0.88066,-38.83149,0,False,Express,10,100,0.71567,0.88360,False
True,0.92299,True,3376.00000,0,0.90400,-35.43574,10,False,Express,10,100,0.84656,0.68178,False
True,0.91465,True,5507.00000,1,0.88180,-38.86786,10,False,Express,10,100,0.79844,0.70301,False
True,0.91965,True,4244.00000,2,0.85603,-40.68218,10,False,Express,10,100,0.77356,0.71002,False
True,0.91972,True,2678.00000,3,0.83746,-40.29021,10,False,Express,10,100,0.76475,0.71205,False
True,0.92216,True,3173.00000,4,0.80545,-46.10072,10,False,Express,10,100,0.72739,0.69663,False
True,0.87221,True,3490.00000,0,0.94072,-30.90134,0,False,Sailfish,10,50,0.86476,0.94993,False
True,0.84686,True,5335.00000,1,0.91253,-32.23193,0,False,Sailfish,10,50,0.83093,0.92573,False
True,0.85168,True,4214.00000,2,0.89884,-32.79135,0,False,Sailfish,10,50,0.80019,0.90907,False
True,0.84746,True,2583.00000,3,0.88872,-33.94824,0,False,Sailfish,10,50,0.77081,0.89496,False
True,0.86236,True,3233.00000,4,0.82843,-36.03970,0,False,Sailfish,10,50,0.75162,0.88348,False
True,0.94131,True,3561.00000,0,0.89416,-42.99362,10,False,Sailfish,10,50,0.85931,0.74286,False
True,0.94611,True,5493.00000,1,0.86037,-42.80159,10,False,Sailfish,10,50,0.82924,0.71985,False
True,0.94139,True,4402.00000,2,0.82675,-42.65014,10,False,Sailfish,10,50,0.80986,0.69307,False
True,0.95016,True,2568.00000,3,0.81282,-44.24579,10,False,Sailfish,10,50,0.78621,0.69190,False
True,0.95265,True,3189.00000,4,0.74111,-48.38615,10,False,Sailfish,10,50,0.74600,0.67421,False
True,0.86868,True,3480.00000,0,0.93673,-29.28767,0,False,Sailfish,10,75,0.84310,0.95408,False
True,0.83659,True,5471.00000,1,0.91557,-28.50519,0,False,Sailfish,10,75,0.81301,0.93672,False
True,0.83193,True,4403.00000,2,0.90990,-29.00429,0,False,Sailfish,10,75,0.79287,0.91786,False
True,0.81672,True,2548.00000,3,0.89673,-29.53985,0,False,Sailfish,10,75,0.77826,0.90937,False
True,0.85497,True,3096.00000,4,0.86049,-33.52497,0,False,Sailfish,10,75,0.72610,0.90199,False
True,0.93562,True,3464.00000,0,0.90040,-38.30667,10,False,Sailfish,10,75,0.85421,0.74486,False
True,0.92990,True,5606.00000,1,0.86434,-38.21086,10,False,Sailfish,10,75,0.81805,0.72467,False
True,0.92529,True,4350.00000,2,0.85101,-37.95360,10,False,Sailfish,10,75,0.79563,0.70587,False
True,0.93043,True,2616.00000,3,0.83041,-38.76345,10,False,Sailfish,10,75,0.78670,0.69583,False
True,0.93344,True,3185.00000,4,0.78176,-41.87241,10,False,Sailfish,10,75,0.75228,0.68963,False
True,0.86225,True,3383.00000,0,0.93427,-26.15441,0,False,Sailfish,10,100,0.83476,0.96061,False
True,0.81641,True,5447.00000,1,0.92156,-25.60100,0,False,Sailfish,10,100,0.79475,0.94108,False
True,0.82073,True,4284.00000,2,0.91202,-26.66146,0,False,Sailfish,10,100,0.78081,0.92697,False
True,0.83098,True,2621.00000,3,0.89899,-26.70668,0,False,Sailfish,10,100,0.76192,0.91669,False
True,0.84270,True,3204.00000,4,0.88266,-30.26139,0,False,Sailfish,10,100,0.72222,0.91105,False
True,0.92950,True,3376.00000,0,0.90506,-36.86460,10,False,Sailfish,10,100,0.85604,0.74532,False
True,0.92446,True,5507.00000,1,0.87391,-36.20076,10,False,Sailfish,10,100,0.81151,0.72788,False
True,0.92295,True,4244.00000,2,0.84958,-36.46830,10,False,Sailfish,10,100,0.79995,0.71703,False
True,0.92681,True,2678.00000,3,0.82008,-37.79113,10,False,Sailfish,10,100,0.77110,0.71062,False
True,0.93413,True,3173.00000,4,0.78041,-40.04068,10,False,Sailfish,10,100,0.74251,0.69722,False
True,0.86532,True,3564.00000,0,0.89998,-27.49490,0,False,Cufflinks,10,50,0.85746,0.95868,True
True,0.87446,True,5329.00000,1,0.87704,-29.61952,0,False,Cufflinks,10,50,0.81310,0.93499,True
True,0.88127,True,4228.00000,2,0.86674,-31.76588,0,False,Cufflinks,10,50,0.79139,0.92308,True
True,0.89365,True,2567.00000,3,0.81664,-31.73347,0,False,Cufflinks,10,50,0.77717,0.90607,True
True,0.90791,True,3073.00000,4,0.77691,-35.86619,0,False,Cufflinks,10,50,0.75366,0.89991,True
True,0.86671,True,3436.00000,0,0.89491,-29.01041,10,False,Cufflinks,10,50,0.86205,0.85546,True
True,0.86685,True,5400.00000,1,0.86590,-30.75676,10,False,Cufflinks,10,50,0.82204,0.81093,True
True,0.87060,True,4405.00000,2,0.81937,-33.18658,10,False,Cufflinks,10,50,0.80000,0.77910,True
True,0.87048,True,2625.00000,3,0.79242,-31.45001,10,False,Cufflinks,10,50,0.77867,0.76362,True
True,0.91331,True,3149.00000,4,0.72614,-43.10690,10,False,Cufflinks,10,50,0.72817,0.74401,True
True,0.83610,True,3368.00000,0,0.90726,-24.26129,0,False,Cufflinks,10,75,0.84234,0.96108,True
True,0.85614,True,5575.00000,1,0.91616,-26.50442,0,False,Cufflinks,10,75,0.80592,0.94047,True
True,0.86290,True,4296.00000,2,0.89589,-25.98934,0,False,Cufflinks,10,75,0.78119,0.92949,True
True,0.87125,True,2633.00000,3,0.86759,-28.92407,0,False,Cufflinks,10,75,0.75769,0.91527,True
True,0.89008,True,3166.00000,4,0.81234,-37.19764,0,False,Cufflinks,10,75,0.70910,0.90818,True
True,0.87019,True,3505.00000,0,0.89543,-30.71122,10,False,Cufflinks,10,75,0.84108,0.86677,True
True,0.86965,True,5424.00000,1,0.87251,-31.40990,10,False,Cufflinks,10,75,0.80586,0.82477,True
True,0.87197,True,4327.00000,2,0.85850,-30.58214,10,False,Cufflinks,10,75,0.78599,0.79961,True
True,0.86764,True,2614.00000,3,0.84332,-31.39115,10,False,Cufflinks,10,75,0.76588,0.77528,True
True,0.89630,True,3105.00000,4,0.77422,-39.71687,10,False,Cufflinks,10,75,0.71948,0.76133,True
True,0.82001,True,3439.00000,0,0.91519,-19.81315,0,False,Cufflinks,10,100,0.83396,0.96726,True
True,0.84099,True,5421.00000,1,0.91513,-20.78671,0,False,Cufflinks,10,100,0.79413,0.94588,True
True,0.85801,True,4444.00000,2,0.89116,-23.42262,0,False,Cufflinks,10,100,0.76688,0.93172,True
True,0.86858,True,2610.00000,3,0.88409,-24.32809,0,False,Cufflinks,10,100,0.73793,0.92476,True
True,0.87662,True,3007.00000,4,0.85004,-29.70677,0,False,Cufflinks,10,100,0.71167,0.91847,True
True,0.86636,True,3487.00000,0,0.90554,-26.72918,10,False,Cufflinks,10,100,0.82908,0.87964,True
True,0.85383,True,5514.00000,1,0.89326,-26.49472,10,False,Cufflinks,10,100,0.79416,0.84595,True
True,0.85917,True,4289.00000,2,0.87328,-26.70349,10,False,Cufflinks,10,100,0.79109,0.82922,True
True,0.86509,True,2624.00000,3,0.84543,-28.21362,10,False,Cufflinks,10,100,0.76905,0.80473,True
True,0.88010,True,3086.00000,4,0.81154,-33.66734,10,False,Cufflinks,10,100,0.70836,0.80174,True
True,0.97868,True,3564.00000,0,0.90529,-61.34374,0,False,Salmon,10,50,0.82941,0.93727,True
True,0.97561,True,5329.00000,1,0.85089,-63.14486,0,False,Salmon,10,50,0.78063,0.90500,True
True,0.97706,True,4228.00000,2,0.82863,-65.49459,0,False,Salmon,10,50,0.76348,0.88909,True
True,0.97390,True,2567.00000,3,0.75401,-67.63613,0,False,Salmon,10,50,0.74016,0.86860,True
True,0.97201,True,3073.00000,4,0.72999,-70.29454,0,False,Salmon,10,50,0.72242,0.86721,True
True,0.97759,True,3436.00000,0,0.88156,-64.41086,10,False,Salmon,10,50,0.84168,0.74309,True
True,0.97389,True,5400.00000,1,0.81580,-65.52077,10,False,Salmon,10,50,0.79889,0.72147,True
True,0.97639,True,4405.00000,2,0.76688,-67.51743,10,False,Salmon,10,50,0.77934,0.69560,True
True,0.97524,True,2625.00000,3,0.73804,-66.55725,10,False,Salmon,10,50,0.76114,0.68872,True
True,0.97968,True,3149.00000,4,0.63668,-72.50521,10,False,Salmon,10,50,0.71388,0.67994,True
True,0.96556,True,3368.00000,0,0.91650,-56.42479,0,False,Salmon,10,75,0.82096,0.94361,True
True,0.97040,True,5575.00000,1,0.88978,-57.81206,0,False,Salmon,10,75,0.77686,0.91190,True
True,0.96485,True,4296.00000,2,0.85455,-58.87474,0,False,Salmon,10,75,0.75512,0.89688,True
True,0.95898,True,2633.00000,3,0.81248,-61.40841,0,False,Salmon,10,75,0.72997,0.87623,True
True,0.96368,True,3166.00000,4,0.75458,-65.79699,0,False,Salmon,10,75,0.68920,0.87680,True
True,0.97575,True,3505.00000,0,0.87755,-60.67980,10,False,Salmon,10,75,0.83024,0.75178,True
True,0.97290,True,5424.00000,1,0.82566,-62.80417,10,False,Salmon,10,75,0.79351,0.72123,True
True,0.97296,True,4327.00000,2,0.80858,-62.22599,10,False,Salmon,10,75,0.77421,0.70565,True
True,0.97399,True,2614.00000,3,0.77965,-61.88315,10,False,Salmon,10,75,0.76779,0.69035,True
True,0.97327,True,3105.00000,4,0.71521,-66.94842,10,False,Salmon,10,75,0.71562,0.68474,True
True,0.94853,True,3439.00000,0,0.91337,-50.55680,0,False,Salmon,10,100,0.82001,0.94773,True
True,0.93783,True,5421.00000,1,0.88849,-52.29410,0,False,Salmon,10,100,0.77310,0.91643,True
True,0.93249,True,4444.00000,2,0.86001,-53.51391,0,False,Salmon,10,100,0.75383,0.89783,True
True,0.92874,True,2610.00000,3,0.84262,-55.02500,0,False,Salmon,10,100,0.71877,0.89390,True
True,0.93216,True,3007.00000,4,0.81028,-57.85972,0,False,Salmon,10,100,0.70136,0.88860,True
True,0.97276,True,3487.00000,0,0.88801,-56.80447,10,False,Salmon,10,100,0.83137,0.76532,True
True,0.96772,True,5514.00000,1,0.85734,-57.68925,10,False,Salmon,10,100,0.78582,0.74110,True
True,0.96409,True,4289.00000,2,0.82562,-57.24607,10,False,Salmon,10,100,0.78830,0.72421,True
True,0.96037,True,2624.00000,3,0.79652,-58.30455,10,False,Salmon,10,100,0.76258,0.70679,True
True,0.95949,True,3086.00000,4,0.74304,-60.94423,10,False,Salmon,10,100,0.71387,0.71198,True
True,0.62907,True,3564.00000,0,0.93904,-10.69593,0,False,RSEM,10,50,0.87682,0.95944,True
True,0.68793,True,5329.00000,1,0.90702,-12.23456,0,False,RSEM,10,50,0.82342,0.94211,True
True,0.71452,True,4228.00000,2,0.89743,-15.65498,0,False,RSEM,10,50,0.79447,0.93302,True
True,0.75886,True,2567.00000,3,0.85161,-19.17707,0,False,RSEM,10,50,0.78029,0.91998,True
True,0.79954,True,3073.00000,4,0.82214,-26.50110,0,False,RSEM,10,50,0.75496,0.91596,True
True,0.94645,True,3436.00000,0,0.90635,-24.09998,10,False,RSEM,10,50,0.86700,0.76008,True
True,0.94500,True,5400.00000,1,0.86181,-26.24311,10,False,RSEM,10,50,0.81204,0.75234,True
True,0.94370,True,4405.00000,2,0.81770,-30.87178,10,False,RSEM,10,50,0.78683,0.73600,True
True,0.94248,True,2625.00000,3,0.78972,-32.18050,10,False,RSEM,10,50,0.77448,0.73713,True
True,0.95332,True,3149.00000,4,0.73352,-44.13665,10,False,RSEM,10,50,0.71737,0.72711,True
True,0.66805,True,3368.00000,0,0.94257,-11.38084,0,False,RSEM,10,75,0.86134,0.96409,True
True,0.68502,True,5575.00000,1,0.93670,-12.51205,0,False,RSEM,10,75,0.80897,0.94871,True
True,0.70670,True,4296.00000,2,0.91697,-14.31026,0,False,RSEM,10,75,0.78305,0.94042,True
True,0.72693,True,2633.00000,3,0.89362,-18.26245,0,False,RSEM,10,75,0.75275,0.92798,True
True,0.80606,True,3166.00000,4,0.84179,-28.07667,0,False,RSEM,10,75,0.69931,0.92494,True
True,0.94066,True,3505.00000,0,0.90813,-24.65043,10,False,RSEM,10,75,0.84536,0.78493,True
True,0.94211,True,5424.00000,1,0.87481,-26.56217,10,False,RSEM,10,75,0.79849,0.77348,True
True,0.94037,True,4327.00000,2,0.85820,-28.00103,10,False,RSEM,10,75,0.77860,0.76224,True
